CASE_NO,STARTED,CLOSED,CaseType,CaseSubType,SITE_ADDR,SITE_CITY,SITE_STATE,SITE_ZIP,Case_Count,Case_Completion
CE05-0003,1/3/2005 12:00:00 AM,1/27/2005 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,1510 PAMELA ST     ,,,,1,1
CE13-0057,1/29/2013 12:00:00 AM,12/23/2013 12:00:00 AM,CODE ENFORCEMENT,,2598 BULRUSH CI     ,,,,1,1
CE16-1627,12/19/2016 12:00:00 AM,,CODE ENFORCEMENT,,2598 BULRUSH CIRCLE,CORONA,CA,92882,1,0
CE15-1255,12/10/2015 12:00:00 AM,12/9/2015 12:00:00 AM,CODE ENFORCEMENT,,2598 BULRUSH CI ,,,,1,1
CE01-0993,9/18/2001 12:00:00 AM,11/30/2001 12:00:00 AM,CODE ENFORCEMENT,PROP,1074 HUSHABYE LN,,,,1,1
CE04-1099,8/24/2004 12:00:00 AM,9/3/2004 12:00:00 AM,CODE ENFORCEMENT,PROP,1027 NORMANDY TERRACE,,,,1,1
CE09-0454,4/20/2009 12:00:00 AM,9/21/2009 12:00:00 AM,CODE ENFORCEMENT,USE,1468 CRESTA RD     ,,,,1,1
CE06-1289,12/17/2006 12:00:00 AM,1/5/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,2891 SAMPSON AV     ,,,,1,1
CE07-1237,7/25/2007 12:00:00 AM,11/15/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,697 HUNTLEY DR     ,,,,1,1
CE05-0476,5/17/2005 12:00:00 AM,6/2/2005 12:00:00 AM,CODE ENFORCEMENT,BLDGCODE,1751 GLEASON ST     ,,,,1,1
CE08-0280,3/5/2008 12:00:00 AM,3/6/2008 12:00:00 AM,CODE ENFORCEMENT,PROP,1617 FAIRVIEW DR     ,,,,1,1
CE07-1213,7/24/2007 12:00:00 AM,9/4/2007 12:00:00 AM,CODE ENFORCEMENT,USE,1617 FAIRVIEW DR     ,,,,1,1
CE13-0993,9/17/2013 12:00:00 AM,2/20/2014 12:00:00 AM,CODE ENFORCEMENT,,1617 FAIRVIEW DR ,,,,1,1
CE14-0461,5/22/2014 12:00:00 AM,7/29/2014 12:00:00 AM,CODE ENFORCEMENT,,1617 FAIRVIEW DR ,,,,1,1
CE18-0841,6/12/2018 12:00:00 AM,2/2/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1617 FAIRVIEW DR,CORONA,CA,92880,1,1
CE20-0826,8/5/2020 12:00:00 AM,8/5/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,1751 GLEASON ST,CORONA,CA,92882,1,1
CE07-1371,8/14/2007 12:00:00 AM,8/23/2007 12:00:00 AM,CODE ENFORCEMENT,PROP,1805 NOAH DR     ,,,,1,1
CE12-0072,1/30/2012 12:00:00 AM,,CODE ENFORCEMENT,,598 EATON ST     ,,,,1,0
CE19-1270,10/9/2019 12:00:00 AM,1/9/2020 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,598 EATON ST,CORONA,CA,92879,1,1
CE09-1530,11/25/2009 12:00:00 AM,1/10/2010 12:00:00 AM,CODE ENFORCEMENT,PROP,2201 MCNEIL CI     ,,,,1,1
CE10-0135,1/30/2010 12:00:00 AM,4/15/2010 12:00:00 AM,CODE ENFORCEMENT,USE,2201 MCNEIL CI     ,,,,1,1
CC24-0085,1/17/2024 12:00:00 AM,3/22/2024 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,925 W ONTARIO AVE,CORONA,CA,92882,1,1
CE05-0908,9/29/2005 12:00:00 AM,10/11/2005 12:00:00 AM,CODE ENFORCEMENT,PROP,925 W ONTARIO AV     ,,,,1,1
CE20-1040,9/16/2020 12:00:00 AM,7/6/2021 12:00:00 AM,CODE ENFORCEMENT,MULTIPLE VIOLATIONS,3600 SANTA CLARA CIR,CORONA,CA,92882,1,1
